Latitude: 2828.9919820000 N, Longitude: 7706.2672220000 E
Latitude: 2828.9920900000 N, Longitude: 7706.2678700000 E
Latitude: 2828.9922520000 N, Longitude: 7706.2683920000 E
Latitude: 2828.9923780000 N, Longitude: 7706.2689380000 E
Latitude: 2828.9928220000 N, Longitude: 7706.2700360000 E
Latitude: 2828.9932180000 N, Longitude: 7706.2705760000 E
Latitude: 2828.9933980000 N, Longitude: 7706.2712540000 E
Latitude: 2828.9934880000 N, Longitude: 7706.2723520000 E
Latitude: 2828.9936500000 N, Longitude: 7706.2728560000 E
Latitude: 2828.9944600000 N, Longitude: 7706.2724900000 E
Latitude: 2828.9955640000 N, Longitude: 7706.2717580000 E
Latitude: 2828.9960980000 N, Longitude: 7706.2711580000 E
Latitude: 2828.9963980000 N, Longitude: 7706.2712960000 E
Latitude: 2828.9964400000 N, Longitude: 7706.2711220000 E
Latitude: 2828.9964880000 N, Longitude: 7706.2710440000 E
Latitude: 2828.9961520000 N, Longitude: 7706.2703000000 E
Latitude: 2828.9951260000 N, Longitude: 7706.2694480000 E
Latitude: 2828.9944540000 N, Longitude: 7706.2683020000 E
Latitude: 2828.9952640000 N, Longitude: 7706.2683860000 E
Latitude: 2828.9953240000 N, Longitude: 7706.2672820000 E
Latitude: 2828.9953240000 N, Longitude: 7706.2671080000 E
Latitude: 2828.9958280000 N, Longitude: 7706.2672880000 E
Latitude: 2828.9947360000 N, Longitude: 7706.2671980000 E
Latitude: 2828.9940160000 N, Longitude: 7706.2675040000 E
Latitude: 2828.9941000000 N, Longitude: 7706.2680080000 E
Latitude: 2828.9950240000 N, Longitude: 7706.2678040000 E
Latitude: 2828.9961280000 N, Longitude: 7706.2675100000 E
Latitude: 2828.9972620000 N, Longitude: 7706.2679900000 E
Latitude: 2828.9973460000 N, Longitude: 7706.2683140000 E
Latitude: 2828.9969320000 N, Longitude: 7706.2681820000 E
Latitude: 2828.9973700000 N, Longitude: 7706.2684880000 E
Latitude: 2828.9968120000 N, Longitude: 7706.2689380000 E
Latitude: 2828.9958220000 N, Longitude: 7706.2702640000 E
Latitude: 2828.9956360000 N, Longitude: 7706.2709120000 E
Latitude: 2828.9957200000 N, Longitude: 7706.2722740000 E
Latitude: 2828.9956060000 N, Longitude: 7706.2730720000 E
Latitude: 2828.9955280000 N, Longitude: 7706.2734200000 E
Latitude: 2828.9963800000 N, Longitude: 7706.2736720000 E
Latitude: 2828.9968120000 N, Longitude: 7706.2742120000 E
Latitude: 2828.9966140000 N, Longitude: 7706.2742660000 E
Latitude: 2828.9969980000 N, Longitude: 7706.2745360000 E
Latitude: 2828.9968660000 N, Longitude: 7706.2740740000 E
Latitude: 2828.9968660000 N, Longitude: 7706.2740740000 E
Latitude: 2828.9968660000 N, Longitude: 7706.2740740000 E
Latitude: 2828.9968660000 N, Longitude: 7706.2740740000 E
Latitude: 2828.9960680000 N, Longitude: 7706.2753940000 E
Latitude: 2828.9959180000 N, Longitude: 7706.2761080000 E
Latitude: 2828.9956840000 N, Longitude: 7706.2766120000 E
Latitude: 2828.9953120000 N, Longitude: 7706.2773620000 E
Latitude: 2828.9951260000 N, Longitude: 7706.2779620000 E
Latitude: 2828.9946340000 N, Longitude: 7706.2785680000 E
Latitude: 2828.9942380000 N, Longitude: 7706.2792220000 E
Latitude: 2828.9939440000 N, Longitude: 7706.2800020000 E
Latitude: 2828.9934640000 N, Longitude: 7706.2807640000 E
Latitude: 2828.9928580000 N, Longitude: 7706.2817480000 E
Latitude: 2828.9924740000 N, Longitude: 7706.2823240000 E
Latitude: 2828.9920240000 N, Longitude: 7706.2829780000 E
Latitude: 2828.9914720000 N, Longitude: 7706.2837820000 E
Latitude: 2828.9911120000 N, Longitude: 7706.2844300000 E
Latitude: 2828.9906920000 N, Longitude: 7706.2853840000 E
Latitude: 2828.9901040000 N, Longitude: 7706.2866020000 E
Latitude: 2828.9895340000 N, Longitude: 7706.2874300000 E
Latitude: 2828.9890780000 N, Longitude: 7706.2879700000 E
Latitude: 2828.9885020000 N, Longitude: 7706.2888880000 E
Latitude: 2828.9879920000 N, Longitude: 7706.2897160000 E
Latitude: 2828.9878060000 N, Longitude: 7706.2903160000 E
Latitude: 2828.9876200000 N, Longitude: 7706.2909520000 E
Latitude: 2828.9869000000 N, Longitude: 7706.2917440000 E
Latitude: 2828.9862880000 N, Longitude: 7706.2924820000 E
Latitude: 2828.9858260000 N, Longitude: 7706.2932740000 E
Latitude: 2828.9856340000 N, Longitude: 7706.2937000000 E
Latitude: 2828.9852920000 N, Longitude: 7706.2942280000 E
Latitude: 2828.9853520000 N, Longitude: 7706.2947860000 E
Latitude: 2828.9858680000 N, Longitude: 7706.2958540000 E
Latitude: 2828.9861440000 N, Longitude: 7706.2964000000 E
Latitude: 2828.9863300000 N, Longitude: 7706.2969820000 E
Latitude: 2828.9865340000 N, Longitude: 7706.2975040000 E
Latitude: 2828.9867860000 N, Longitude: 7706.2980500000 E
Latitude: 2828.9870080000 N, Longitude: 7706.2987880000 E
Latitude: 2828.9873380000 N, Longitude: 7706.2993760000 E
Latitude: 2828.9874520000 N, Longitude: 7706.3000300000 E
Latitude: 2828.9874640000 N, Longitude: 7706.3006840000 E
Latitude: 2828.9874580000 N, Longitude: 7706.3014460000 E
Latitude: 2828.9874220000 N, Longitude: 7706.3021960000 E
Latitude: 2828.9874580000 N, Longitude: 7706.3029820000 E
Latitude: 2828.9875780000 N, Longitude: 7706.3035280000 E
Latitude: 2828.9876980000 N, Longitude: 7706.3037560000 E
Latitude: 2828.9878120000 N, Longitude: 7706.3039180000 E
Latitude: 2828.9879080000 N, Longitude: 7706.3040740000 E
Latitude: 2828.9879080000 N, Longitude: 7706.3040740000 E
Latitude: 2828.9879080000 N, Longitude: 7706.3040740000 E
Latitude: 2828.9879080000 N, Longitude: 7706.3040740000 E
Latitude: 2828.9880340000 N, Longitude: 7706.3046380000 E
Latitude: 2828.9879920000 N, Longitude: 7706.3052020000 E
Latitude: 2828.9879200000 N, Longitude: 7706.3057420000 E
Latitude: 2828.9878240000 N, Longitude: 7706.3063480000 E
Latitude: 2828.9877460000 N, Longitude: 7706.3069480000 E
Latitude: 2828.9876860000 N, Longitude: 7706.3075240000 E
Latitude: 2828.9876020000 N, Longitude: 7706.3081120000 E
Latitude: 2828.9875960000 N, Longitude: 7706.3086940000 E
Latitude: 2828.9876800000 N, Longitude: 7706.3092280000 E
Latitude: 2828.9877220000 N, Longitude: 7706.3097620000 E
Latitude: 2828.9876980000 N, Longitude: 7706.3103080000 E
Latitude: 2828.9876500000 N, Longitude: 7706.3109080000 E
Latitude: 2828.9876500000 N, Longitude: 7706.3115140000 E
Latitude: 2828.9875780000 N, Longitude: 7706.3121620000 E
Latitude: 2828.9876560000 N, Longitude: 7706.3128040000 E
Latitude: 2828.9876080000 N, Longitude: 7706.3134100000 E
Latitude: 2828.9874940000 N, Longitude: 7706.3140580000 E
Latitude: 2828.9873740000 N, Longitude: 7706.3146220000 E
Latitude: 2828.9865940000 N, Longitude: 7706.3152340000 E
Latitude: 2828.9862520000 N, Longitude: 7706.3157980000 E
Latitude: 2828.9856820000 N, Longitude: 7706.3165060000 E
Latitude: 2828.9852140000 N, Longitude: 7706.3171840000 E
Latitude: 2828.9849140000 N, Longitude: 7706.3178200000 E
Latitude: 2828.9847700000 N, Longitude: 7706.3184440000 E
Latitude: 2828.9847700000 N, Longitude: 7706.3189300000 E
Latitude: 2828.9846680000 N, Longitude: 7706.3193320000 E
Latitude: 2828.9845120000 N, Longitude: 7706.3197820000 E
Latitude: 2828.9844640000 N, Longitude: 7706.3208140000 E
Latitude: 2828.9844640000 N, Longitude: 7706.3214980000 E
Latitude: 2828.9844520000 N, Longitude: 7706.3222060000 E
Latitude: 2828.9844100000 N, Longitude: 7706.3228900000 E
Latitude: 2828.9843320000 N, Longitude: 7706.3235740000 E
Latitude: 2828.9842540000 N, Longitude: 7706.3241560000 E
Latitude: 2828.9840980000 N, Longitude: 7706.3248460000 E
Latitude: 2828.9839960000 N, Longitude: 7706.3255300000 E
Latitude: 2828.9839600000 N, Longitude: 7706.3262320000 E
Latitude: 2828.9839660000 N, Longitude: 7706.3268920000 E
Latitude: 2828.9840320000 N, Longitude: 7706.3275400000 E
Latitude: 2828.9841100000 N, Longitude: 7706.3280440000 E
Latitude: 2828.9842060000 N, Longitude: 7706.3286500000 E
Latitude: 2828.9842780000 N, Longitude: 7706.3292020000 E
Latitude: 2828.9842600000 N, Longitude: 7706.3297180000 E
Latitude: 2828.9842660000 N, Longitude: 7706.3303780000 E
Latitude: 2828.9842600000 N, Longitude: 7706.3311160000 E
Latitude: 2828.9842540000 N, Longitude: 7706.3318420000 E
Latitude: 2828.9842720000 N, Longitude: 7706.3325260000 E
Latitude: 2828.9842900000 N, Longitude: 7706.3331680000 E
Latitude: 2828.9842360000 N, Longitude: 7706.3337200000 E
Latitude: 2828.9841580000 N, Longitude: 7706.3342000000 E
Latitude: 2828.9841220000 N, Longitude: 7706.3346440000 E
Latitude: 2828.9839780000 N, Longitude: 7706.3353880000 E
Latitude: 2828.9838040000 N, Longitude: 7706.3360060000 E
Latitude: 2828.9834740000 N, Longitude: 7706.3363420000 E
Latitude: 2828.9832580000 N, Longitude: 7706.3366600000 E
Latitude: 2828.9830240000 N, Longitude: 7706.3370980000 E
Latitude: 2828.9827240000 N, Longitude: 7706.3378060000 E
Latitude: 2828.9825080000 N, Longitude: 7706.3383460000 E
Latitude: 2828.9823100000 N, Longitude: 7706.3389040000 E
Latitude: 2828.9820520000 N, Longitude: 7706.3395160000 E
Latitude: 2828.9818840000 N, Longitude: 7706.3401400000 E
Latitude: 2828.9817520000 N, Longitude: 7706.3407160000 E
Latitude: 2828.9816500000 N, Longitude: 7706.3414780000 E
Latitude: 2828.9815120000 N, Longitude: 7706.3421740000 E
Latitude: 2828.9812600000 N, Longitude: 7706.3429240000 E
Latitude: 2828.9810500000 N, Longitude: 7706.3436080000 E
Latitude: 2828.9809060000 N, Longitude: 7706.3443880000 E
Latitude: 2828.9806120000 N, Longitude: 7706.3451920000 E
Latitude: 2828.9801920000 N, Longitude: 7706.3466620000 E
Latitude: 2828.9796580000 N, Longitude: 7706.3482340000 E
Latitude: 2828.9793880000 N, Longitude: 7706.3490260000 E
Latitude: 2828.9791420000 N, Longitude: 7706.3497220000 E
Latitude: 2828.9789920000 N, Longitude: 7706.3499440000 E
Latitude: 2828.9786920000 N, Longitude: 7706.3503100000 E
Latitude: 2828.9783080000 N, Longitude: 7706.3506220000 E
Latitude: 2828.9780440000 N, Longitude: 7706.3512940000 E
Latitude: 2828.9774380000 N, Longitude: 7706.3519060000 E
Latitude: 2828.9769280000 N, Longitude: 7706.3522240000 E
Latitude: 2828.9764480000 N, Longitude: 7706.3526620000 E
Latitude: 2828.9761480000 N, Longitude: 7706.3525960000 E
Latitude: 2828.9760940000 N, Longitude: 7706.3524760000 E
Latitude: 2828.9757340000 N, Longitude: 7706.3527160000 E
Latitude: 2828.9753260000 N, Longitude: 7706.3530100000 E
Latitude: 2828.9750080000 N, Longitude: 7706.3533280000 E
Latitude: 2828.9746480000 N, Longitude: 7706.3535740000 E
Latitude: 2828.9745580000 N, Longitude: 7706.3535680000 E
Latitude: 2828.9748700000 N, Longitude: 7706.3530100000 E
Latitude: 2828.9750200000 N, Longitude: 7706.3531300000 E
Latitude: 2828.9748700000 N, Longitude: 7706.3531360000 E
Latitude: 2828.9748760000 N, Longitude: 7706.3531900000 E
Latitude: 2828.9743720000 N, Longitude: 7706.3536160000 E
Latitude: 2828.9737180000 N, Longitude: 7706.3542280000 E
Latitude: 2828.9730880000 N, Longitude: 7706.3548700000 E
Latitude: 2828.9724280000 N, Longitude: 7706.3555120000 E
Latitude: 2828.9718700000 N, Longitude: 7706.3552000000 E
Latitude: 2828.9714020000 N, Longitude: 7706.3544500000 E
Latitude: 2828.9706460000 N, Longitude: 7706.3546180000 E
Latitude: 2828.9700940000 N, Longitude: 7706.3539700000 E
Latitude: 2828.9695780000 N, Longitude: 7706.3537720000 E
Latitude: 2828.9685760000 N, Longitude: 7706.3543240000 E
Latitude: 2828.9677660000 N, Longitude: 7706.3547380000 E
Latitude: 2828.9674180000 N, Longitude: 7706.3552060000 E
Latitude: 2828.9669260000 N, Longitude: 7706.3554400000 E
Latitude: 2828.9666260000 N, Longitude: 7706.3557220000 E
Latitude: 2828.9664880000 N, Longitude: 7706.3556560000 E
Latitude: 2828.9660620000 N, Longitude: 7706.3556560000 E
Latitude: 2828.9655520000 N, Longitude: 7706.3559920000 E
Latitude: 2828.9652820000 N, Longitude: 7706.3560340000 E
Latitude: 2828.9649040000 N, Longitude: 7706.3562140000 E
Latitude: 2828.9653300000 N, Longitude: 7706.3564180000 E
Latitude: 2828.9654980000 N, Longitude: 7706.3566520000 E
Latitude: 2828.9657260000 N, Longitude: 7706.3567900000 E
Latitude: 2828.9658760000 N, Longitude: 7706.3570000000 E
